"Score","Sens","Sens_L","Sens_H","Spec","Spec_L","Spec_H","CAD_Pos_TB","CAD_Pos_Normal","Subgroup","AI","ppv","npv","CAD_Pos","XpertSaved","Comment","X","nnt"
21,0.94707521,0.9399645,0.95357169,0.59484969,0.58437425,0.60526068,0.947075208913649,0.405150314611979,"MDF","CAD4TBv7",0.354140147880118,0.979556743178933,0.508116044529296,0.491883955470704,"",0.40515031,2.82374084380435
22,0.94637883,0.93922733,0.95291714,0.60067583,0.59022298,0.61106028,0.946378830083565,0.399324166860872,"MDF","CAD4TBv7",0.357291161816638,0.979490043622307,0.503264552873183,0.496735447126817,"",0.39932417,2.7988377739755
23,0.94498607,0.93775392,0.95160712,0.60685155,0.59642431,0.61720619,0.944986072423398,0.393148450244698,"MDF","CAD4TBv7",0.360538593144194,0.979178094259725,0.497997598458651,0.502002401541349,"",0.39314845,2.77362817466828
24,0.94452182,0.93726305,0.95117016,0.6111629,0.60075457,0.6214957,0.944521819870009,0.388837100908879,"MDF","CAD4TBv7",0.362971083856928,0.979151082407702,0.494417197511494,0.505582802488506,"",0.3888371,2.75504039984124
25,0.94336119,0.93603647,0.9500772,0.61640643,0.60602224,0.62671154,0.943361188486537,0.383593567932883,"MDF","CAD4TBv7",0.365830878838122,0.978901359442464,0.489949415838077,0.510050584161923,"",0.38359357,2.73350353358907
26,0.9417363,0.93432061,0.9485457,0.62048474,0.61012019,0.63076742,0.941736304549675,0.379515264507108,"MDF","CAD4TBv7",0.367913200569892,0.978448693887595,0.486337262115196,0.513662737884804,"",0.37951526,2.71803240125936
27,0.94127205,0.93383065,0.94810784,0.62572827,0.61539011,0.635981,0.941272051996286,0.374271731531112,"MDF","CAD4TBv7",0.371039471042563,0.978458785567554,0.482001792419495,0.517998207580505,"",0.37427173,2.69513105220357
28,0.94034355,0.93285109,0.94723175,0.62980657,0.61948983,0.64003511,0.940343546889508,0.370193428105337,"MDF","CAD4TBv7",0.373369024042819,0.978264232673149,0.478521950674329,0.521478049325671,"",0.37019343,2.67831538131379
29,0.93918292,0.93162733,0.94613596,0.63260312,0.62230151,0.64281463,0.939182915506035,0.367396877184805,"MDF","CAD4TBv7",0.374855409008791,0.977946480637256,0.476036224465839,0.523963775534161,"",0.36739688,2.66769526587396
30,0.93662953,0.92893759,0.94372266,0.63691447,0.62663692,0.64709899,0.936629526462396,0.363085527848986,"MDF","CAD4TBv7",0.3769860381191,0.977193688705166,0.472058887585534,0.527941112414466,"",0.36308553,2.65261813140165
